Electoral Politics,Health,Nation,Education,Criminal Offences,Congress,Public Servers,Human Rights,2020 Decrees,Services,Labour,District,Forces,Rural,Justice,Pension,Agriculture,Republic,Minors,Peace,Environmental,Family,Civil Code,Professions,Transit
0.0,0.0,0.0,0.0,0.0,0.04750845673,0.0,0.0,0.0,0.0,0.0,0.06559391498,0.4802110343,0.0,0.0,0.0,0.0,16.61140863,0.0,0.0,0.0,0.0,1.295551317,0.0,0.0
0.0,0.1707987643,0.0,2.446450495,0.8062566658,0.1128672734,0.2208713251,0.0,4.345493802,0.0,0.0,0.0,0.8700393074,0.0,0.5711200588,3.297912974,9.801715306,0.5782280276,0.0,0.0,0.0,0.0,3.004379013,2.267174451,0.9991475664
0.1383741742,0.0,0.0,0.898580661,0.06900810584,3.026297545,0.2074670687,0.1544764436,0.265184093,1.278505325,0.01305031644,0.0,0.3494873741,0.2245535612,0.1748937554,0.0,0.2827249332,0.3221972357,0.3256287884,0.8989849743,0.04287985342,0.1382540843,0.5032306355,1.498374182,0.0
0.0,0.0,0.0,0.0,2.848961011,0.9302701701,1.801193519,5.761904492,0.0,0.0,0.0,0.0,0.0,1.40437023,6.983868773,0.0,0.0,0.0,0.290969675,0.8177289754,0.0,0.5535111035,0.7694920759,0.0,0.0
0.0,0.0,1.72921277,0.0,1.496945928,0.0,2.884338683,1.035311719,1.858947208,0.0,0.0,0.0,1.346383116,0.0,0.6521409153,0.0,1.075119723,0.0,0.0,0.0,0.2739054121,15.41719,0.0,0.0,2.623491279
0.0,0.0,0.5097887251,1.158494707,0.1121797234,0.0,0.0,0.2389132367,5.360458283,0.0,0.0,0.0,0.0,0.8528124084,0.0,0.0,0.0,14.03520495,0.0,0.0,4.806922996,0.0,0.0,0.4421946171,0.0
0.0,0.0,0.0,0.0,0.6855034629,0.6869262054,0.0,5.010782566,0.3273179929,1.192794861,3.19220286,0.0,0.6487131701,0.0,0.0,0.0,0.0,1.135269593,0.900772218,0.0,0.0,14.23351972,0.0,1.771846893,0.5349822485
0.0,0.3003312596,0.0,0.0,0.0,0.3215537804,0.2237943431,0.3351851163,9.433764378,0.0,0.0,0.0,0.9382819037,0.0,1.736489003,1.580362286,1.020005598,0.8001379951,0.0,0.0,0.0,0.0,2.482957686,0.0,0.8725565642
0.9413455462,0.0,0.6654855567,0.4816934939,15.42057655,0.0,2.303554004,0.0,0.3816606489,0.8858902172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.91030152,0.0,0.0,0.0,0.0,0.9889279177,1.833386611
0.0,0.0,0.0,28.80669399,0.0,0.0,0.0,0.0,0.0,11.98648625,0.0,0.0,0.0,0.5207829725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.16099224,0.0,0.0,0.0,0.4392392318,1.741282608,10.33861753,0.0,4.139369813,0.3596813086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6177972245,0.0,0.0,0.8592975782,0.0,0.0,0.0
0.5508009945,0.1737253078,0.7149892493,0.0,0.4529528333,0.01024980601,3.353557942,0.0,0.0,0.0,0.3491978342,0.0,0.9798564485,1.258547897,0.6335457442,0.0,0.4919127901,0.137774647,0.0,0.0,1.224406199,0.0,0.4600777836,0.0,0.923512181
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8296425904,0.0,0.0,0.0,0.0,0.9057312033,0.0,0.3320855226,10.22617425,0.0,0.0,0.0736769541,0.0,5.488141811,0.0,0.2576948337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122449932,0.9378978183,0.0,0.0,0.0,24.65877104,0.0,1.910872331,0.0,0.0,2.691809342,1.388500122,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7781569809,0.0,0.0,0.0,0.0,0.0,0.0,0.04577348336,17.47819493,0.0,0.0,5.471920513,0.0,0.0,0.0,0.02720303141,0.0,0.0,0.0,0.0,0.0,0.0
0.08584863071,0.0,9.965559997,2.652682847,0.5437583262,0.1055594063,0.0,0.6272170975,0.4072922554,0.452952274,0.554549821,0.9425846596,0.0,0.9148654357,0.0,1.601086114,4.466208177,0.0221175214,0.06549575054,0.04079352772,0.3261046755,0.0,0.0,0.9627519166,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.89252353,1.386326359,0.0,0.0,8.290246375,0.0,0.0,0.0,0.0,4.482285894,0.3713093372,0.0,0.5716664685,3.55158549,6.151154984
0.0,0.04160107775,0.0,0.0,1.472147273,0.1663331932,0.9346543001,0.0,0.0,10.12776595,0.0,0.7406823145,0.0,0.0,2.139789356,1.334350596,0.0,0.0,0.0,0.0,4.963064247,1.173706937,0.0633542478,4.964946472,5.022689913
0.0,0.0,0.0,0.0,0.0,0.0,0.2756722506,0.1923628146,0.0,0.0,0.0,0.0,0.0,0.2034363659,0.0,0.0,0.1655975622,0.0,0.0,0.0,0.0,0.0,6.087627422,13.76516835,0.0
0.03825781798,0.6253360642,8.809844093,0.0,0.0,0.0,1.000694858,0.0,0.0,0.2331287552,0.1092669966,0.0,1.748438381,6.497774443,0.9106993808,1.042343539,1.509622875,2.824712137,0.0,0.0,1.394112824,1.538810083,0.0,0.0,1.264295417
0.0,1.229848076,0.516788797,0.0,8.947447387,0.0,0.0,7.158952522,0.0,0.0,0.9206475281,0.0,0.0,0.7596065114,0.0,0.5818261056,0.2343168788,0.0,0.0,0.4912681143,0.0,3.298804547,0.0,0.7770551179,0.04227014027
0.0,0.0,0.0,0.0,5.860876852,0.0,0.1533609374,0.0,0.0,0.0,0.0,0.07242652777,0.0,0.6243255413,0.0,4.715616262,0.0,0.0,1.875432125,6.260368834,1.000089026,0.0,0.0,0.4096850481,15.06931965
0.0211045292,2.923125227,0.0,23.61197916,0.0,1.161050908,1.402585312,0.06997742102,0.4977382012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137847288,0.880626434,0.0,0.113984673,0.0,0.0,0.0,4.400313754,1.564560819
0.0,0.2312657729,0.0,1.156033613,0.0,0.1826938334,0.0,0.0,0.0,0.0,0.8564561455,0.2695980635,0.0,0.1332626126,0.0,0.0,0.0,0.2484389967,0.0,0.0,0.7202101189,4.97759974,0.0,3.321193101,0.0
0.0,0.0,0.0,2.35506208,0.0,0.0,2.432101642,0.0,0.0,0.0,0.06012902142,0.0,0.0,0.0,24.78779292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.441632611,0.6529724451,0.0,0.0,0.0,0.2280552898,0.0,0.0,0.0,0.0,0.1692347752,13.80654559,0.0,0.0,0.0,2.915728761,0.0,0.1688830703,0.0,0.501546088,0.0,5.384422556,0.0,1.941592691
0.0,0.0,0.3423151138,0.786021159,0.0,0.1846368613,0.0,0.6419260905,0.1454967468,0.0001625649716,0.0,2.355207253,2.970674271,0.0,0.2307167613,2.159770182,1.004317355,0.3749711252,0.7732576861,1.53233379,0.8911064759,7.53709369,0.0978074313,0.4814879148,1.470881355
0.627360824,4.499656981,0.8844782906,4.84782548,0.0,0.0,5.399388062,0.0,0.8429137108,0.0,0.0,0.1164180192,6.934712027,0.0,0.0,0.4696498405,0.0,0.9414264054,0.420241961,0.0,2.552089269,0.6537988388,0.0,0.0,0.3251637733
